"(PDH-CSV 4.0) (Hora de verano romance)(-120)","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de procesador","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Memoria física","\\AUGUSTO-DESKTOP\Memoria\Bytes disponibles","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes recibidos/s","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes enviados/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de lectura de disco/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de escritura en disco/s"
"10/24/2019 00:33:04.738"," ","62"," "," ","7330"," "," ","20013502464"," "," "," "," "
"10/24/2019 00:33:08.741","1.3920740325874092491","62"," "," ","7330"," "," ","20021895168","2817.0338982246034902","215.426119612278967","0","94815.483030094823334"
"10/24/2019 00:33:12.727","21.251776034603665266","62"," "," ","7330"," "," ","20025774080","18132.640828416631848","2845.181981628102676","0","565736.58738184871618"
"10/24/2019 00:33:16.729","17.35002509646590596","67"," "," ","7330"," "," ","20026396672","71511.818555795907741","5709.4810444304775956","8188.0290106305692461","692911.95502461190335"
"10/24/2019 00:33:20.730","17.321414126870017469","72"," "," ","7330"," "," ","20007837696","143073.17900973651558","9328.8549565214452741","8188.3617061848999583","1303996.6017099453602"
"10/24/2019 00:33:24.732","12.534800216363917613","75"," "," ","7330"," "," ","20020121600","43367.870325966869132","6151.0349727346765576","4094.3591855563881836","1682781.6252636755817"
"10/24/2019 00:33:28.734","7.02397331072810438","78"," "," ","7330"," "," ","20025069568","80818.152036121755373","5279.1257132104838092","17400.174271621337539","1016374.8853952934733"
"10/24/2019 00:33:32.735","15.432567024806919775","80"," "," ","7330"," "," ","20028678144","104455.86137797783886","9253.8142274363472097","2047.3504780608352576","1435832.4821450395975"
"10/24/2019 00:33:36.736","10.01603453222451634","80"," "," ","7330"," "," ","20029026304","187239.3750178689952","7212.5780163021254339","4094.6250249166328103","318101.18162321089767"
"10/24/2019 00:33:40.738","19.173832430945747518","81"," "," ","7330"," "," ","20029468672","24203.644276050792541","2014.6796224577353769","8188.665575377706773","485946.12273882079171"
"10/24/2019 00:33:44.740","19.24601566116529483","81"," "," ","7330"," "," ","20029509632","70844.412508442532271","5708.4464991264394484","0","825394.9325098588597"
"10/24/2019 00:33:48.725","11.305996247568927515","82"," "," ","7330"," "," ","20029952000","144786.47776072868146","8428.9072379389745038","4110.5850751991947618","537715.91014949465171"
"10/24/2019 00:33:52.727","12.52927645117178912","83"," "," ","7330"," "," ","20029792256","793.98607902733135688","440.35362645456649489","0","288544.08794516703347"
"10/24/2019 00:33:56.729","14.102270648689652077","82"," "," ","7330"," "," ","20030128128","23430.333221993540064","4529.3896441300585138","0","1013032.0030639723409"
"10/24/2019 00:34:00.730","7.4155645873523745593","82"," "," ","7330"," "," ","20030885888","106174.69092959842237","7435.2920432479404553","0","636525.37112862651702"
