"(PDH-CSV 4.0) (Hora de verano romance)(-120)","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de usuario","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de interrupción","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de procesador","\\AUGUSTO-DESKTOP\Memoria\Bytes disponibles","\\AUGUSTO-DESKTOP\Memoria\% de bytes confirmados en uso","\\AUGUSTO-DESKTOP\Memoria\Mbytes disponibles","\\AUGUSTO-DESKTOP\Disco lógico(_Total)\Longitud actual de la cola de disco","\\AUGUSTO-DESKTOP\Disco lógico(_Total)\Bytes de lectura de disco/s","\\AUGUSTO-DESKTOP\Disco lógico(_Total)\Bytes de escritura en disco/s","\\AUGUSTO-DESKTOP\Adaptador de red(Intel[R] I211 Gigabit Network Connection)\Bytes recibidos/s","\\AUGUSTO-DESKTOP\Adaptador de red(Intel[R] I211 Gigabit Network Connection)\Ancho de banda actual","\\AUGUSTO-DESKTOP\Adaptador de red(Intel[R] I211 Gigabit Network Connection)\Bytes enviados/s"
"10/20/2019 16:36:53.591"," "," "," ","7754088448","80.471113948261162818","7394","0"," "," "," ","1000000000"," "
"10/20/2019 16:36:59.580","3.9480059820130324333","0.11419957632224475574","8.4454044752368275795","7955656704","80.362556893462908647","7587","0","5474.4531339916011348","130274.8769229563768","3038.1143262218402015","1000000000","1150.2566475687308412"
"10/20/2019 16:37:05.583","0.79722554129262812594","0","1.4695082755658450679","7924613120","80.376768317161307209","7557","0","0","155418.71198548426037","45927.843449581538152","1000000000","4940.3032666128874553"
"10/20/2019 16:37:11.585","0.7646519755963894216","0","1.2947375316400333567","7926317056","80.454674428434742595","7559","0","0","316537.72997057531029","250437.102088579064","1000000000","6308.3241140495556465"
"10/20/2019 16:37:17.588","3.2373127405203447893","0.065070792514510034099","6.0040374809230856457","7721914368","80.458965939576501114","7364","0","5458.6165798615365929","382700.19677872990724","95703.868184804436169","1000000000","3607.704445497476172"
"10/20/2019 16:37:23.592","45.347341695730328581","0.24397884331926350532","54.994228684916635075","6606426112","89.32659269527685808","6300","0","0","196788.67833615100244","3727.1239048294955865","1000000000","2032.8404229593697892"
"10/20/2019 16:37:29.592","30.957001741564983632","0.26041641493079892289","47.884165378640133781","6247534592","86.657625713073088036","5958","0","77750.120555259796674","1592213.2262117746286","48081.249836121693079","1000000000","8184.3723611216655627"
"10/20/2019 16:37:35.594","15.863519819320012871","0.17897325942374051055","23.676128608902679673","5514715136","89.017051083272562551","5259","0","454404.76348751742626","1010148.5281057220418","52837.209134944838297","1000000000","14279.786449967117733"
"10/20/2019 16:37:41.583","12.898840005794335539","0.19568322018098530113","19.818458631660195834","5154709504","87.889531717609969519","4915","0","1859382.6135077467188","1890845.4055700444151","214454.99015284876805","1000000000","22307.796866478507582"
"10/20/2019 16:37:47.585","25.299333142930152007","0.39047201957059923805","36.987577217039316224","4700696576","88.028417129076188985","4482","0","191412.31875936785946","976851.10268818214536","384900.65003132174024","1000000000","23737.447942041180795"
"10/20/2019 16:37:53.589","18.006822558105668008","0.97598036399557941412","36.72399414622988445","4676055040","86.81453193696555104","4459","0","163913.43594835267868","1248795.2354795674328","229504.36183763059671","1000000000","12149.792945321383741"
"10/20/2019 16:37:59.591","9.2091188761275653007","0.78098531106165935967","27.807670517000616428","6155005952","82.07217740874554579","5869","0","106289.09052494917705","1493421.4348477409221","183699.19496950198663","1000000000","9620.3862752865661605"
"10/20/2019 16:38:05.594","10.216532492201347182","0.27656116667082025762","22.253482656650412252","6248853504","81.711108861889485411","5959","0","489497.16129701834871","1275558.4678858527914","210472.91114965034649","1000000000","9056.562409443746219"
"10/20/2019 16:38:11.580","8.597487945857434255","0.34259414589968711917","18.315716380733860547","6192697344","82.829236654292145658","5905","0","446394.42343755147886","985506.14041913556866","60773.388736157212406","1000000000","7160.5118361859049401"
"10/20/2019 16:38:17.582","10.575177912687278692","0.30912080556435106438","19.286986131871753258","6093529088","83.367366572694706406","5811","0","2217.7725347064242669","800359.98819809150882","160827.82624805098749","1000000000","7351.3695061940861706"
"10/20/2019 16:38:23.584","6.5570505737413213865","0.14643599275442487073","13.228909391656928918","6665842688","80.131742656261593538","6357","0","46747.113901871518465","865248.13194650143851","1963.5134057565715011","1000000000","2661.6144808622170785"
"10/20/2019 16:38:29.587","9.1913771425184549457","0.21148281046034062003","17.163727538749085966","7064174592","79.483433249286235878","6736","0","482404.28395271353656","863824.36136369919404","54079.810553330011317","1000000000","4930.3697097621934518"
"10/20/2019 16:38:35.590","8.216197897233271874","0.16269655918835382313","13.282512372342281992","6997008384","79.888853495914688096","6672","0","36593.725397617810813","513335.75627707224339","152686.77276805607835","1000000000","8418.216194166259811"
"10/20/2019 16:38:41.592","6.2960339558716409414","0.27657065580943812622","13.840300903862413406","6981468160","79.779038596846874043","6658","0","169226.28993506162078","950874.33477624354418","337807.03280463611009","1000000000","11003.287258931693941"
"10/20/2019 16:38:47.594","2.7334596554767025545","0.19524628519396472481","8.803325393103367702","7191154688","79.71528020680771931","6858","0","0","380970.86364094389137","14940.987796627157877","1000000000","1484.5019990627145035"
"10/20/2019 16:38:53.581","2.887270992754678911","0.16312387235029565669","7.6562852710252986554","7256059904","79.598313798103092154","6919","0","2736.7442458382079167","84924.59487866688869","823.82950564416751149","1000000000","560.57822809039464573"
"10/20/2019 16:38:59.587","2.1950699666178814518","0.032519148060591876459","4.9127939545919758757","7602458624","79.528877390438893258","7250","0","0","271941.51872065471252","2182.3186997156772122","1000000000","183.48326902316904352"
