"(PDH-CSV 4.0) (Hora de verano romance)(-120)","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de procesador","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Memoria física","\\AUGUSTO-DESKTOP\Memoria\Bytes disponibles","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes recibidos/s","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes enviados/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de lectura de disco/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de escritura en disco/s"
"10/23/2019 23:39:49.781"," ","65"," "," ","6866"," "," ","20859056128"," "," "," "," "
"10/23/2019 23:39:53.784","3.6253958843249445287","64"," "," ","6866"," "," ","20859097088","1729.254352471223001","1925.1981900687715097","4094.8263204059135205","262580.7377960291924"
"10/23/2019 23:39:57.785","26.342392635842738713","65"," "," ","6866"," "," ","20858245120","18253.935208939190488","2798.8584236491465163","0","757646.65165911393706"
"10/23/2019 23:40:01.786","16.939805567831633937","72"," "," ","7178"," "," ","20530696192","90505.214160365838325","5006.2257903807039838","0","240578.76668940839591"
"10/23/2019 23:40:05.787","12.547615803836842829","76"," "," ","7178"," "," ","20527710208","114680.08396181603894","5635.9437750251208854","0","754479.66930131416302"
"10/23/2019 23:40:09.772","10.798720256882122115","78"," "," ","7178"," "," ","20528099328","73567.189363781304564","5163.6003340719180414","0","257476.88174047836219"
"10/23/2019 23:40:13.773","12.480622770437744151","80"," "," ","7178"," "," ","20528492544","141464.68469940050272","4665.4478055151048466","0","1172090.045641815057"
"10/23/2019 23:40:17.774","13.670106489315191567","80"," "," ","7178"," "," ","20529295360","79561.066729037323967","7823.2407961825210805","0","1502846.0315679428168"
"10/23/2019 23:40:21.775","15.500943549581936765","81"," "," ","7178"," "," ","20528803840","141493.762545159203","6779.8938345654423756","0","26616.713009395854897"
"10/23/2019 23:40:25.777","22.26606154012562655","81"," "," ","7178"," "," ","20527726592","73645.826549055811483","5851.8689167367156188","0","816889.41089886659756"
"10/23/2019 23:40:29.778","14.269102275629752086","81"," "," ","7178"," "," ","20527497216","137326.81397693234612","5793.4007759853375319","0","203693.40232535704854"
"10/23/2019 23:40:33.780","18.388265553993889512","82"," "," ","7178"," "," ","20527288320","6954.7881788543909352","943.66596583974194346","0","1534432.8491322286427"
"10/23/2019 23:40:37.781","17.233084707758873577","83"," "," ","7178"," "," ","20527067136","4050.9424002128644133","1354.8962704561906776","0","344997.92966551257996"
"10/23/2019 23:40:41.782","11.692577769173318814","83"," "," ","7178"," "," ","20527153152","70807.613436143612489","5470.5601485688966932","0","475010.97711082443129"
"10/23/2019 23:40:45.783","9.0846193680476865495","83"," "," ","7178"," "," ","20527247360","136827.44973574965843","4400.4860703884332906","0","44019.356540317712643"
"10/23/2019 23:40:49.784","11.500206065395579103","83"," "," ","7178"," "," ","20527542272","9531.1182663921572384","2021.1389086509695971","0","574930.16986314195674"
"10/23/2019 23:40:53.785","17.624453954636720709","82"," "," ","7178"," "," ","20527251456","7455.3708737712659058","2520.1148050633837556","0","1439381.2039675398264"
"10/23/2019 23:40:57.787","15.287907663938216984","82"," "," ","7178"," "," ","20528132096","139011.88008532239473","7493.3865896494298795","0","593693.13501078402624"
"10/23/2019 23:41:01.772","22.072540441131817346","82"," "," ","7178"," "," ","20529725440","69523.688330411896459","3615.5831130286037478","0","602326.83651760022622"
"10/23/2019 23:41:05.773","11.335873195395196333","81"," "," ","7178"," "," ","20529872896","124743.75287835979543","8386.2921547570167604","0","617254.29441036144271"
"10/23/2019 23:41:09.775","12.317982343743516083","82"," "," ","7178"," "," ","20530028544","91991.47450944094453","4767.1758018086329685","0","14329.765119196637897"
"10/23/2019 23:41:13.776","13.804620139141354329","81"," "," ","7178"," "," ","20530606080","72479.294414749849238","6499.8584575228633184","0","1309163.9557683758903"
"10/23/2019 23:41:17.778","9.8906734825281450441","82"," "," ","7178"," "," ","20531081216","141010.02102395385737","7370.292781569239196","0","2184561.7783614252694"
"10/23/2019 23:41:21.780","13.81201636653212006","80"," "," ","7178"," "," ","20530999296","6295.1655262712647527","1643.9445082895508676","0","426798.87921915459447"
