"(PDH-CSV 4.0) (Hora de verano romance)(-120)","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de usuario","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de interrupción","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de procesador","\\AUGUSTO-DESKTOP\Memoria\Bytes disponibles","\\AUGUSTO-DESKTOP\Memoria\% de bytes confirmados en uso","\\AUGUSTO-DESKTOP\Memoria\Mbytes disponibles","\\AUGUSTO-DESKTOP\Disco lógico(_Total)\Longitud actual de la cola de disco","\\AUGUSTO-DESKTOP\Disco lógico(_Total)\Bytes de lectura de disco/s","\\AUGUSTO-DESKTOP\Disco lógico(_Total)\Bytes de escritura en disco/s","\\AUGUSTO-DESKTOP\Adaptador de red(Intel[R] I211 Gigabit Network Connection)\Bytes recibidos/s","\\AUGUSTO-DESKTOP\Adaptador de red(Intel[R] I211 Gigabit Network Connection)\Ancho de banda actual","\\AUGUSTO-DESKTOP\Adaptador de red(Intel[R] I211 Gigabit Network Connection)\Bytes enviados/s"
"10/20/2019 16:32:07.746"," "," "," ","7706869760","80.176897808019276681","7349","0"," "," "," ","1000000000"," "
"10/20/2019 16:32:13.735","13.293773629212340737","0.081556688487774336993","18.492037073718357476","7545171968","80.804864382558704961","7195","0","0","105801.12557694401767","306.70672898025276254","1000000000","588.02161547412299569"
"10/20/2019 16:32:19.737","6.3292632833825939187","0.065083233997110231939","11.585557070197161522","7520296960","81.362936338727109842","7171","0","434030.75160897406749","642174.42966044752393","13834.370327969745631","1000000000","4607.791335962753692"
"10/20/2019 16:32:25.740","3.4002355956628793621","0.01626802562628025528","5.1350718424499453008","7360729088","82.134702750978689778","7019","0","2217.719293946281141","463247.44174700975418","265968.38273969996953","1000000000","9039.6384171288427751"
"10/20/2019 16:32:31.743","1.6918841037941014793","0.03253748215660937082","2.3913017041864437218","7334662144","82.458136110207561842","6994","0","511.75072622125765065","670222.86777444044128","191544.03223523157067","1000000000","6301.5971586906689481"
"10/20/2019 16:32:37.745","8.639677705538327146","0.16270537438230736615","14.302859719896709123","7081394176","82.558284486308295413","6753","0","1023.6566655543730349","582119.42381192010362","12569.450872843914112","1000000000","1242.9164591529333848"
"10/20/2019 16:32:43.747","4.3605169060922568391","0.1301647086312355539","11.1300447654968373","7650742272","80.965723721535340474","7296","0","0","307352.89847020816524","2726.9185884928233463","1000000000","1941.8486068848205832"
"10/20/2019 16:32:49.750","1.9685119976693199462","0.032536961586877473362","4.1286157387835249466","7364755456","81.570711797469002136","7023","1","767.65175478144340104","661204.04478508327156","98864.816642596750171","1000000000","6311.6367259992503023"
"10/20/2019 16:32:55.736","3.8660617993132251335","0.032624578249109664752","5.6485120045285164281","7227207680","82.374543506273653293","6892","0","437115.68579176411731","642203.42097639536951","51790.426037424214883","1000000000","5951.1350127570976838"
"10/20/2019 16:33:01.739","7.7272554707514862216","0.13014324652669120863","12.917901208973702865","7063506944","82.595755365350228772","6736","0","50150.862715911360283","5965735.1080393465236","13484.407831981015988","1000000000","712.30963333478473487"
"10/20/2019 16:33:07.742","6.4908949852337149977","0.13014327037436418388","13.19443866029908996","7275278336","82.433539787873982618","6938","0","12964.193212855712773","190368.942441407562","1574.5471094766678561","1000000000","670.49853106682053294"
"10/20/2019 16:33:13.745","1.7407204718494242446","0.032538076771436483248","4.374263980523929618","7549972480","81.360136689934918763","7200","0","255.87978767574992389","530097.62680159532465","1342.869120087382953","1000000000","1764.1711923738228052"
"10/20/2019 16:33:19.747","4.0350181680988361776","0.016269193253774506119","5.7465306341078381536","7341539328","82.066978114207032036","7001","0","436238.88576056156307","488870.75758579943795","52653.364150328583492","1000000000","6106.4860405016033837"
"10/20/2019 16:33:25.750","6.7519065433484026784","0.11388863204525558059","11.785925690833011004","7036604416","82.663625335009683681","6710","0","1023.5991074095830982","450810.10688830388244","13403.583819730336472","1000000000","1894.757918061391365"
"10/20/2019 16:33:31.736","6.361695550378983377","0.13049631041622133942","15.242647219840621986","7589527552","81.156129641727574153","7237","1","0","514330.89218495553359","352146.43843536218628","1000000000","4442.1466275197417417"
"10/20/2019 16:33:37.740","3.7410920223651977778","0.097592444869379471606","5.9196789178083353278","7341211648","82.092669113095070088","7001","0","62168.066342584839731","1061206.3341112835333","40642.226798949028307","1000000000","4575.5608884632956688"
"10/20/2019 16:33:43.742","2.0663639181631023867","0.032542423485859700572","3.0435729754933027458","7287615488","82.50819092674836952","6950","0","448276.41935344669037","496814.81756697874516","46895.948707858078706","1000000000","4487.6625517680649864"
"10/20/2019 16:33:49.745","8.1505984684549126484","0.16268618385551195105","13.645951710177373073","7067082752","82.436881955349093687","6739","0","28061.952731282548484","557656.67768123187125","128412.32065792058711","1000000000","4564.5985991946581635"
"10/20/2019 16:33:55.747","6.068691619770332224","0.16269909630494985842","13.931958137004052389","7306960896","81.403623447148973469","6968","0","527588.55716345179826","2093635.1733257495798","4806.0286695679105833","1000000000","2183.8466322562544519"
"10/20/2019 16:34:01.750","2.8958890211467225306","0.097614611038410944999","5.8348394899863986751","7310630912","82.114969515734117067","6971","0","2217.7117569459883271","410532.56485311698634","50741.484895628687809","1000000000","5175.4382092310752341"
"10/20/2019 16:34:07.737","2.4467168222210418094","0.032622490092657822902","3.5993091000562249526","7270498304","82.553808922542685877","6933","0","1026.2262953250781266","411431.22556741256267","147410.1248582006956","1000000000","6551.2121997461290448"
