"(PDH-CSV 4.0) (Hora de verano romance)(-120)","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de usuario","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de interrupción","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de procesador","\\AUGUSTO-DESKTOP\Memoria\Bytes disponibles","\\AUGUSTO-DESKTOP\Memoria\% de bytes confirmados en uso","\\AUGUSTO-DESKTOP\Memoria\Mbytes disponibles","\\AUGUSTO-DESKTOP\Disco lógico(_Total)\Longitud actual de la cola de disco","\\AUGUSTO-DESKTOP\Disco lógico(_Total)\Bytes de lectura de disco/s","\\AUGUSTO-DESKTOP\Disco lógico(_Total)\Bytes de escritura en disco/s","\\AUGUSTO-DESKTOP\Adaptador de red(Intel[R] I211 Gigabit Network Connection)\Bytes recibidos/s","\\AUGUSTO-DESKTOP\Adaptador de red(Intel[R] I211 Gigabit Network Connection)\Ancho de banda actual","\\AUGUSTO-DESKTOP\Adaptador de red(Intel[R] I211 Gigabit Network Connection)\Bytes enviados/s"
"10/20/2019 17:41:19.792"," "," "," ","7693332480","79.974768888199406547","7336","0"," "," "," ","1000000000"," "
"10/20/2019 17:41:25.797","6.1334994904549366979","0.065076095733464095483","9.7220308439902485276","7444639744","81.590716699508647025","7099","0","78559.206768454620033","245486.85893551836489","70965.709880505542969","1000000000","3742.9375730924052732"
"10/20/2019 17:41:31.783","13.034971746662174397","0.14682758055808445286","18.445784678909237897","7410475008","81.752591133525726264","7067","0","38746.32349200839235","203225.74970642814878","33182.854210593024618","1000000000","1310.722156622076227"
"10/20/2019 17:41:37.785","7.7285108547354415265","0.048811854451270585142","8.8361152608212751858","7483654144","80.595494499568715696","7136","0","73873.920134653555579","198845.39010840351693","213605.61234662408242","1000000000","2399.5295309326297684"
"10/20/2019 17:41:43.788","2.326490584935413608","0.032537922106070357731","4.4674378797822766884","7318138880","81.1422301645256141","6979","0","326261.56178164330777","719396.08158598165028","70505.083517978593591","1000000000","4090.7642205618117259"
"10/20/2019 17:41:49.790","7.8423247596423255601","0.065082369775322959637","14.596752799105871645","6897278976","81.858388842516205841","6577","0","856192.71160302881617","563771.8074110209709","52852.107466601628403","1000000000","4770.6731390809336517"
"10/20/2019 17:41:55.792","5.3687834142693438011","0.19522766996166565634","10.536538321054035094","7071182848","82.313191956447724351","6743","0","16888.715615476452513","515617.60553310683463","56567.601450700953137","1000000000","5534.2796396201047173"
"10/20/2019 17:42:01.795","4.7180130285991150885","0.097614453296338665744","7.0388993613045407471","6989516800","82.492207172907001222","6665","0","3753.0509782205431293","503847.09382610791363","99283.758342033761437","1000000000","4352.2930045282173523"
"10/20/2019 17:42:07.797","2.359246094901768398","0.081353141260412875635","5.7277389869734518513","7318437888","81.039111614469234723","6979","2","10919.026627156727045","491014.97863995406078","97085.135052144774818","1000000000","3769.9099043682135743"
"10/20/2019 17:42:13.784","5.8887061430249341143","0.048936819737782695505","11.180051349835739671","6860959744","82.033747104470094769","6543","0","469949.50027275522007","867717.49404319829773","28566.05569645896685","1000000000","5394.4705098771009943"
"10/20/2019 17:42:19.787","4.7827649653330022161","0.065070793598481183051","9.0624015284090262412","6837272576","82.295464487349491378","6520","0","45118.628887300095812","664327.03289826167747","32025.217710028016882","1000000000","4286.5096235822529707"
"10/20/2019 17:42:25.789","7.8249910951394276992","0.14641419897384955195","13.014068496943831832","6781607936","82.522910037665369032","6467","0","11855.622479984724123","347821.78757825685898","12766.850208254682002","1000000000","1017.1766926538152802"
"10/20/2019 17:42:31.792","4.5712831488872049945","0.13014327471030565087","11.941806957368683584","7360311296","80.95296762905852006","7019","0","682.32699291747587722","268154.5082165679778","2375.8172785617775844","1000000000","438.44839974579991804"
"10/20/2019 17:42:37.795","1.1714260314496798276","0.03253919547767991638","3.0644954810319702254","7256817664","81.307077100804789893","6920","0","33011.273603837827977","664575.79495478165336","2996.5114615563788902","1000000000","1757.9889326333209283"
"10/20/2019 17:42:43.797","4.7345501152192257521","0.065080556827531527153","7.1637744057294501232","7060013056","81.969632902641237138","6732","0","441605.27812991902465","932002.94936208147556","249373.77203281084076","1000000000","9948.4408097760588134"
"10/20/2019 17:42:49.784","8.286698002063600299","0.11418616860546014491","14.408841573059415708","6683103232","82.435514471129394565","6373","0","44215.892769110316294","713954.10606679483317","187842.71079449646641","1000000000","4136.8879968560586349"
"10/20/2019 17:42:55.786","5.1247941721353766908","0.14642330941935313704","13.545538039065174729","7168241664","81.257004076907648482","6836","0","2985.4048355561717472","579424.42994094500318","2916.2673909827444731","1000000000","1309.9463293514606903"
"10/20/2019 17:43:01.789","3.3026805860180474816","0.048808292648371907896","5.7515900637864714184","7042011136","82.059433865840418321","6715","0","2303.0597374778458288","5850283.524246500805","51482.981214869338146","1000000000","4481.3370861123094073"
"10/20/2019 17:43:07.791","2.0986668241514458977","0.032537043976819418623","2.9082179983612399532","7032606720","82.381139132748629095","6706","0","475177.75818809156772","446177.50010445289081","6005.9587800513672846","1000000000","3208.0535955688778813"
"10/20/2019 17:43:13.793","8.0048780122897955636","0.19524011441873409534","14.80986576436179547","6787047424","82.407080098615750785","6472","0","682.41791396339510811","544740.09982128010597","180454.72124652692582","1000000000","7537.7523636342484679"
"10/20/2019 17:43:19.796","4.685481572629869973","0.11388427388621438774","12.017068247283535953","7263236096","81.384235127219980654","6926","0","35739.258876510684786","727664.95817544788588","2954.5595734585558603","1000000000","1976.81442901940909"
