"(PDH-CSV 4.0) (Hora de verano romance)(-120)","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de procesador","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Memoria física","\\AUGUSTO-DESKTOP\Memoria\Bytes disponibles","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes recibidos/s","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes enviados/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de lectura de disco/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de escritura en disco/s"
"10/24/2019 00:10:01.454"," ","85"," "," ","5518"," "," ","21877850112"," "," "," "," "
"10/24/2019 00:10:05.457","1.5723452059424380955","84"," "," ","5518"," "," ","21878759424","4721.7064598012439092","400.34792783961012219","0","108502.78521703529987"
"10/24/2019 00:10:09.458","15.192786792329759038","85"," "," ","5714"," "," ","21681049600","290.40608267286359023","260.16586236011272604","12810193.183524446562","165322.53469228048925"
"10/24/2019 00:10:13.444","21.24832026735916557","88"," "," ","6272"," "," ","21098016768","36663.62447463976423","6040.642193405229591","23158746.772114157677","809847.00703052978497"
"10/24/2019 00:10:17.445","15.682328403107847592","87"," "," ","7736"," "," ","19563364352","189072.92699728216394","9179.6779578146652057","52203.686240591625392","771411.8243738404708"
"10/24/2019 00:10:21.447","11.492576779609088078","86"," "," ","7736"," "," ","19563466752","4302.1654932643759821","1043.2445219480030119","231311.92359022243181","132671.7172362061101"
"10/24/2019 00:10:25.449","3.0399808473187128754","85"," "," ","7736"," "," ","19564257280","231.91119540549934186","327.87444867674042825","474954.12819046265213","207152.6760615191306"
"10/24/2019 00:10:29.450","1.8224974571055319039","85"," "," ","7736"," "," ","19565195264","278.3818199578823851","377.33980981723738068","121804.29103334907268","329204.24456807476236"
"10/24/2019 00:10:33.451","1.394378000266427442","85"," "," ","7736"," "," ","19565875200","958.24879507837022174","140.96304653735023749","8189.853030028178182","58992.535106921721308"
"10/24/2019 00:10:37.453","6.4893676966439217679","85"," "," ","7736"," "," ","19565789184","2972.1202674688342995","356.33458057933057717","0","227734.28005384199787"
"10/24/2019 00:10:41.455","7.907383017752822596","85"," "," ","7736"," "," ","19565703168","360.56965207427373343","460.51965957926995543","0","85845.062445891133393"
"10/24/2019 00:10:45.456","5.4926603569297016705","85"," "," ","7736"," "," ","19573563392","617.08503774228552174","448.63006996654615932","4094.9053294328091397","381082.12722034082981"
"10/24/2019 00:10:49.458","1.0992553723138454025","85"," "," ","7736"," "," ","19573547008","1568.7294792980057991","440.28374363222138754","12281.967404660015745","597466.5393725236645"
"10/24/2019 00:10:53.444","0.99621221595664888326","85"," "," ","7736"," "," ","19573870592","122.42850589204745404","170.59709837416448863","0","123568.49591412422888"
"10/24/2019 00:10:57.446","6.8520325510435515781","84"," "," ","7736"," "," ","19574489088","3736.3532956937551717","1083.2725746945177434","26612.271306728340278","252816.57741391923628"
"10/24/2019 00:11:01.448","5.930547221503557509","77"," "," ","7736"," "," ","19575021568","125.93901088550342138","173.9157769371237805","4094.0173697382697355","207515.50542860856513"
"10/24/2019 00:11:05.450","21.493760861261179684","72"," "," ","7736"," "," ","19575472128","4675.0524915763344325","593.47103893814710318","0","156854.27065008089994"
"10/24/2019 00:11:09.451","18.876206990854736745","73"," "," ","7736"," "," ","19575336960","82610.862229615828255","6128.5053247294345056","100319.3485600274289","878434.09166401578113"
"10/24/2019 00:11:13.452","8.9413844485515809879","76"," "," ","7736"," "," ","19575713792","140972.58522899090894","7196.9059677263112462","0","442863.75927360454807"
"10/24/2019 00:11:17.454","13.685513899059753129","77"," "," ","7736"," "," ","19575463936","73676.077844615123468","6527.3332611322621233","66530.270948426681571","1484648.5847798909526"
"10/24/2019 00:11:21.456","8.403274124490200947","79"," "," ","7736"," "," ","19575656448","142729.57185252159252","8028.251006168055028","0","110045.74551056619384"
"10/24/2019 00:11:25.457","11.490035547749066325","81"," "," ","7736"," "," ","19576221696","502.77370155692926801","495.02718826256307239","0","378837.48524788994109"
"10/24/2019 00:11:29.458","20.77369813920324404","80"," "," ","7736"," "," ","19575754752","71069.531758413620992","5914.3590610785040553","5118.579850020611957","1051228.3366979830898"
"10/24/2019 00:11:33.444","14.049162703584904932","81"," "," ","7736"," "," ","19576524800","146965.28395397742861","9077.8844449689822795","0","490453.64433078566799"
"10/24/2019 00:11:37.446","15.172152212716937925","82"," "," ","7736"," "," ","19576557568","7474.5710649260863647","2468.4501681434885541","1023.5646779424710076","1342021.2383673223667"
"10/24/2019 00:11:41.448","10.761207520299864271","81"," "," ","7736"," "," ","19576324096","194230.42228209343739","9157.5997733089243411","19446.655881848768331","403773.98659943894017"
"10/24/2019 00:11:45.449","10.241086532110477592","82"," "," ","7736"," "," ","19576131584","17468.171023692648305","1535.6276868798918258","4094.3407684036042156","165948.74926935858093"
